Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Processor,Display_Size_inch,Display_Type,Battery_mAh,Processor,Warranty_Years,Specs,Price_Tier
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Black, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",31999,36780.46,13,4.5,12.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,12 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme P4 Pro 5G,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",24999,30862.96,19,4.4,8.0,256.0,Snapdragon 7 Gen 4 Mobile Processor,6.8,Full HD+,7000.0,Snapdragon 7 Gen 4 Mobile Processor,1.0,8 GB RAM | 256 GB ROM; 17.27 cm (6.8 inch) Display; 50MP + 8MP | 50MP Front Camera; 7000 mAh Battery; Snapdragon 7 Gen 4 Mobile Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Iqoo,IQOO Neo 10R 5G,"IQOO Neo 10R 5G (MoonKnight Titanium, 128 GB)",24994,31637.97,21,4.5,8.0,128.0,Not Specified,6.78,Full HD+,6400.0,Not Specified,1.0,8 GB RAM | 128 GB ROM; 17.22 cm (6.78 inch) Display; 50MP Rear Camera; 6400 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Motorola,Motorola G85 5G,"Motorola G85 5G (Urban Grey, 128 GB)",15999,20777.92,23,4.4,8.0,128.0,6s Gen 3 Processor,6.67,Full HD+,5000.0,6s Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5000 mAh Battery; 6s Gen 3 Processor; 1 Year on Handset and 6 Months on Accessories,Mid Range
Tecno,Tecno Pova 7 5G,"Tecno Pova 7 5G (Oasis Green, 256 GB)",15999,19998.75,20,4.4,8.0,256.0,Dimensity 7300 Ultimate Processor,6.78,Full HD+,6000.0,Dimensity 7300 Ultimate Processor,1.0,8 GB RAM | 256 GB ROM; 17.22 cm (6.78 inch) Full HD+ Display; 50MP + AI | 13MP Front Camera; 6000 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Manufacturer Warranty for Phone,Mid Range
Tecno,Tecno Pova 7 5G,"Tecno Pova 7 5G (Geek Black, 128 GB)",12999,18839.13,31,4.4,8.0,128.0,Dimensity 7300 Ultimate Processor,6.78,Full HD+,6000.0,Dimensity 7300 Ultimate Processor,1.0,8 GB RAM | 128 GB ROM; 17.22 cm (6.78 inch) Full HD+ Display; 50MP + AI | 13MP Front Camera; 6000 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Manufacturer Warranty for Phone,Budget
Motorola,MOTOROLA Edge 60 Pro,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",30999,40788.16,24,4.3,12.0,256.0,Dimensity 8350 Processor,6.7,Full HD+,6000.0,Dimensity 8350 Processor,1.0,12 GB RAM | 256 GB ROM; 17.02 cm (6.7 inch) Display; 50MP + 50MP + 10MP | 50MP Front Camera; 6000 mAh Battery; Dimensity 8350 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Samsung,Samsung Galaxy A35 5G,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",17999,33960.38,47,4.4,8.0,128.0,Samsung Exynos 1380 Processor,6.6,Full HD+,5000.0,Samsung Exynos 1380 Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.76 cm (6.6 inch) Full HD+ Display; 50MP + 8MP + 5MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1380 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Apple,Apple iPhone 17,"Apple iPhone 17 (Lavender, 256 GB)",82900,82900.0,0,4.7,8.0,256.0,"A19 Chip, 6 Core Processor",6.3,Super Retina,5000.0,"A19 Chip, 6 Core Processor",0.0,"256 GB ROM; 16.0 cm (6.3 inch) Super Retina XDR Display; 48MP + 48MP | 18MP Front Camera; A19 Chip, 6 Core Processor Processor; Apple One (1) Year Limited Warranty",High Range
Samsung,Samsung Galaxy A55 5G,"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)",27499,45831.67,40,4.4,8.0,256.0,Samsung Exynos 1480 Processor,6.6,Full HD+,5000.0,Samsung Exynos 1480 Processor,1.0,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.76 cm (6.6 inch) Full HD+ Display; 50MP + 12MP + 5MP | 32MP Front Camera; 5000 mAh Battery; Samsung Exynos 1480 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Realme,realme P3 Ultra 5G,"realme P3 Ultra 5G (Neptune Blue, 128 GB)",19999,31744.44,37,4.4,8.0,128.0,Dimensity 8350 Ultra Processor,6.83,Full HD+,6000.0,Dimensity 8350 Ultra Processor,1.0,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Iqoo,IQOO Z10X 5G,"IQOO Z10X 5G (Titanium, 128 GB)",13490,17294.87,22,4.4,6.0,128.0,Not Specified,6.7,Full HD+,6500.0,Not Specified,1.0,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 6500 mAh Battery; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Budget
Iqoo,IQOO Z10X 5G,"IQOO Z10X 5G (Ultramarine, 256 GB)",16283,20353.75,20,4.4,8.0,256.0,Not Specified,6.7,Full HD+,6500.0,Not Specified,1.0,8 GB RAM | 256 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 6500 mAh Battery; 1 Year on Handset and 6 Months on Accessories,Mid Range
Realme,realme P3 Pro 5G,"realme P3 Pro 5G (Galaxy Purple, 256 GB)",16999,30907.27,45,4.4,8.0,256.0,7s Gen 3 Mobile Platform Processor,6.83,Full HD+,6000.0,7s Gen 3 Mobile Platform Processor,1.0,8 GB RAM | 256 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; 7s Gen 3 Mobile Platform Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Realme,realme Narzo 80x 5G,"realme Narzo 80x 5G (Sunlit Gold, 128 GB)",12554,16964.86,26,4.2,8.0,128.0,Not Specified,6.72,Full HD+,6000.0,Not Specified,1.0,8 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP Rear Camera; 6000 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Nothing,Nothing Phone,"Nothing Phone (3) (White, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",29999,34882.56,14,4.5,8.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Poco,POCO C71,"POCO C71 (Cool Blue, 64 GB)",6199,8984.06,31,3.9,4.0,64.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Motorola,MOTOROLA Edge 60 Pro,"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)",34999,42681.71,18,4.3,16.0,512.0,Dimensity 8350 Processor,6.7,Full HD+,6000.0,Dimensity 8350 Processor,1.0,16 GB RAM | 512 GB ROM; 17.02 cm (6.7 inch) Display; 50MP + 50MP + 10MP | 50MP Front Camera; 6000 mAh Battery; Dimensity 8350 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Poco,POCO C71,"POCO C71 (Power Black, 64 GB)",6199,8984.06,31,3.9,4.0,64.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Iqoo,IQOO Z10 Lite 5G,"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",13198,16920.51,22,4.2,8.0,256.0,Not Specified,6.74,Full HD+,6000.0,Not Specified,1.0,8 GB RAM | 256 GB ROM; 17.12 cm (6.74 inch) Display; 50MP Rear Camera; 6000 mAh Battery; 1 Year Warranty,Budget
Tecno,Tecno Pova 7 5G,"Tecno Pova 7 5G (Magic Silver, 256 GB)",15999,19998.75,20,4.4,8.0,256.0,Dimensity 7300 Ultimate Processor,6.78,Full HD+,6000.0,Dimensity 7300 Ultimate Processor,1.0,8 GB RAM | 256 GB ROM; 17.22 cm (6.78 inch) Full HD+ Display; 50MP + AI | 13MP Front Camera; 6000 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Manufacturer Warranty for Phone,Mid Range
Oneplus,OnePlus Nord CE5 5G,"OnePlus Nord CE5 5G (Black Infinity, 256 GB)",28999,28999.0,0,4.4,12.0,256.0,Not Specified,6.77,Full HD+,7100.0,Not Specified,1.0,12 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 7100 mAh Battery; 1 Year Warranty,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (White, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Black, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Infinix,Infinix Note 50x 5G+ 45W Charger In the Box & AI,"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Sea Breeze Green, 128 GB)",12999,16881.82,23,4.3,8.0,128.0,Dimensity 7300 Ultimate Processor,6.67,HD+,5500.0,Dimensity 7300 Ultimate Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) HD+ Display; 50MP + AI Lens | 8MP Front Camera; 5500 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Warranty on the Handset and 6 Months Warranty on the In-box Accessories,Budget
Infinix,Infinix Note 50x 5G+ 45W Charger In the Box & AI,"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Sunset Spice Pink, 128 GB)",11499,14933.77,23,4.3,6.0,128.0,Dimensity 7300 Ultimate Processor,6.67,HD+,5500.0,Dimensity 7300 Ultimate Processor,1.0,6 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) HD+ Display; 50MP + AI Lens | 8MP Front Camera; 5500 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Warranty on the Handset and 6 Months Warranty on the In-box Accessories,Budget
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Infinix,Infinix Note 50x 5G+ 45W Charger In the Box & AI,"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",12999,16881.82,23,4.3,8.0,128.0,Dimensity 7300 Ultimate Processor,6.67,HD+,5500.0,Dimensity 7300 Ultimate Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) HD+ Display; 50MP + AI Lens | 8MP Front Camera; 5500 mAh Battery; Dimensity 7300 Ultimate Processor; 1 Year Warranty on the Handset and 6 Months Warranty on the In-box Accessories,Budget
Vivo,vivo T4 Pro 5G,"vivo T4 Pro 5G (Blaze Gold, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7 Gen 4 Processor,6.77,Full HD+,6500.0,7 Gen 4 Processor,1.0,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP + 2MP + 50MP | 32MP Front Camera; 6500 mAh Battery; 7 Gen 4 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Alcatel,Alcatel V3 Pro 5G,"Alcatel V3 Pro 5G (Metallic Grey, 256 GB)",12999,25998.0,50,4.5,8.0,256.0,Dimensity 6300 Processor,6.67,HD+,5200.0,Dimensity 6300 Processor,1.0,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP + 5MP | 8MP Front Camera; 5200 mAh Battery; Dimensity 6300 Processor; 1 Year Warranty on Handset and 6 Months Warranty on in the Box Accessories,Budget
Oppo,OPPO F27 Pro+,"OPPO F27 Pro+ (Dusk Pink, 128 GB)",20990,29985.71,30,4.4,8.0,128.0,Dimensity 7050 Processor,6.7,Full HD+,5000.0,Dimensity 7050 Processor,1.0,8 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 64MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 7050 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Samsung,Samsung Galaxy A35 5G,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",17999,33960.38,47,4.4,8.0,128.0,Samsung Exynos 1380 Processor,6.6,Full HD+,5000.0,Samsung Exynos 1380 Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.76 cm (6.6 inch) Full HD+ Display; 50MP + 8MP + 5MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1380 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Realme,realme P3 Ultra 5G,"realme P3 Ultra 5G (Neptune Blue, 128 GB)",19999,31744.44,37,4.4,8.0,128.0,Dimensity 8350 Ultra Processor,6.83,Full HD+,6000.0,Dimensity 8350 Ultra Processor,1.0,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Realme,realme P3 Pro 5G,"realme P3 Pro 5G (Nebula Glow, 128 GB)",15999,28569.64,44,4.4,8.0,128.0,7s Gen 3 Mobile Platform Processor,6.83,Full HD+,6000.0,7s Gen 3 Mobile Platform Processor,1.0,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; 7s Gen 3 Mobile Platform Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Oneplus,OnePlus 13R 5g,"OnePlus 13R 5g (Astral Trail, 256 GB)",38646,44937.21,14,4.5,12.0,256.0,Not Specified,6.78,Full HD+,6000.0,Not Specified,0.0,12 GB RAM | 256 GB ROM; 17.22 cm (6.78 inch) Display; 50MP Rear Camera; 6000 mAh Battery; 1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (White, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme C71,"realme C71 (Sea Blue, 128 GB)",7699,10998.57,30,4.2,6.0,128.0,T7250 Processor,6.75,HD+,6300.0,T7250 Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.14 cm (6.75 inch) HD+ Display; 13MP Rear Camera | 5MP Front Camera; 6300 mAh Battery; T7250 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
Realme,realme Narzo 80 Lite 4G,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)",7826,10869.44,28,4.3,6.0,128.0,Not Specified,6.74,HD+,6300.0,Not Specified,0.0,6 GB RAM | 128 GB ROM; 17.12 cm (6.74 inch) HD+ Display; 13MP Rear Camera; 6300 mAh Battery; 1 year brand Warranty,Budget
Apple,Apple iPhone 17,"Apple iPhone 17 (Black, 256 GB)",82900,82900.0,0,4.7,8.0,256.0,"A19 Chip, 6 Core Processor",6.3,Super Retina,5000.0,"A19 Chip, 6 Core Processor",0.0,"256 GB ROM; 16.0 cm (6.3 inch) Super Retina XDR Display; 48MP + 48MP | 18MP Front Camera; A19 Chip, 6 Core Processor Processor; Apple One (1) Year Limited Warranty",High Range
Samsung,Samsung Galaxy F36 5G,"Samsung Galaxy F36 5G (Violet, 128 GB)",13999,22949.18,39,4.3,6.0,128.0,Samsung Exynos 1380 Processor,6.7,Full HD+,5000.0,Samsung Exynos 1380 Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 8MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1380 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Black, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",31999,36780.46,13,4.5,12.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,12 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Oneplus,OnePlus Nord CE5 5G,"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)",25920,26721.65,3,4.5,8.0,256.0,Not Specified,6.77,Full HD+,7100.0,Not Specified,1.0,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 7100 mAh Battery; 1 Year Warranty,Mid Range
Realme,realme P4 Pro 5G,"realme P4 Pro 5G (Midnight Ivy, 256 GB)",24999,30862.96,19,4.4,8.0,256.0,Snapdragon 7 Gen 4 Mobile Processor,6.8,Full HD+,7000.0,Snapdragon 7 Gen 4 Mobile Processor,1.0,8 GB RAM | 256 GB ROM; 17.27 cm (6.8 inch) Display; 50MP + 8MP | 50MP Front Camera; 7000 mAh Battery; Snapdragon 7 Gen 4 Mobile Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Oneplus,OnePlus Nord CE5 5G,"OnePlus Nord CE5 5G (Black Infinity, 128 GB)",24947,24947.0,0,4.5,8.0,128.0,Not Specified,6.77,Full HD+,7100.0,Not Specified,1.0,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 7100 mAh Battery; 1 Year Warranty,Mid Range
Oneplus,OnePlus Nord 5 5G,"OnePlus Nord 5 5G (Phantom Grey, 512 GB)",37889,40740.86,7,4.5,12.0,512.0,Not Specified,6.83,Full HD+,6800.0,Not Specified,1.0,12 GB RAM | 512 GB ROM; 17.35 cm (6.83 inch) Display; 50MP Rear Camera; 6800 mAh Battery; 1 Year Warranty,Mid Range
